Timestamp,X,Y,Z,Activity,HR
34:48.8,1.312023,3.189077,9.114726,sitting,71
34:48.9,1.345541,3.196259,9.095572,sitting,86
34:49.0,1.170765,3.306392,8.92319,sitting,73
34:49.0,1.25935,3.189077,9.11712,sitting,82
34:49.1,1.283292,3.057395,9.172187,sitting,87
34:49.2,1.228225,3.129222,9.023746,sitting,79
34:49.3,1.158794,3.019088,9.174581,sitting,82
34:49.4,1.563414,3.13401,9.093178,sitting,81
34:49.4,1.443704,3.074155,9.169792,sitting,75
34:49.5,1.429338,2.964022,9.179369,sitting,72
34:49.6,1.228225,3.040636,9.172187,sitting,86
34:49.7,1.283292,3.05979,9.081207,sitting,81
34:49.8,1.508347,3.057395,9.105149,sitting,91
34:49.8,1.398214,2.954445,9.169792,sitting,75
34:49.9,1.371878,2.944868,9.19134,sitting,88
34:50.0,1.403002,2.949656,9.064447,sitting,88
34:50.1,1.381454,2.906561,9.23683,sitting,91
34:50.2,1.455675,2.887407,9.13388,sitting,79
34:50.2,1.608904,2.932897,9.188946,sitting,87
34:50.3,1.472434,2.858677,9.085996,sitting,91
34:50.4,1.568202,2.779668,9.284714,sitting,87
34:50.5,1.477222,2.748544,9.205706,sitting,86
34:50.6,1.764527,2.846706,9.303867,sitting,94
34:50.6,1.486799,2.70066,9.0429,sitting,90
34:50.7,1.675941,2.794033,9.186552,sitting,80
34:50.8,1.673547,2.715025,9.028535,sitting,94
34:50.9,1.757344,2.750938,9.435549,sitting,85
34:51.0,1.63524,2.710236,8.995016,sitting,69
34:51.0,1.790863,2.734178,9.02614,sitting,89
34:51.1,1.51553,2.607286,9.332599,sitting,89
34:51.2,1.400608,2.513912,9.289502,sitting,73
34:51.3,1.601721,2.604892,9.334992,sitting,77
34:51.4,1.549049,2.636016,9.174581,sitting,71
34:51.4,1.513135,2.568978,9.047688,sitting,84
34:51.5,1.642422,2.578555,9.524135,sitting,83
34:51.6,1.197101,2.343924,9.186552,sitting,85
34:51.7,1.47004,2.492364,9.476251,sitting,77
34:51.8,1.398214,2.439692,9.200917,sitting,92
34:51.8,1.319205,2.509123,9.351752,sitting,79
34:51.9,1.218649,2.44448,9.524135,sitting,94
34:52.0,1.493982,2.688689,9.181764,sitting,95
34:52.1,1.584962,2.760514,9.002198,sitting,82
34:52.2,1.391031,2.652776,9.25359,sitting,78
34:52.2,1.256956,2.588132,9.375694,sitting,71
34:52.3,1.426944,2.703054,9.150639,sitting,81
34:52.4,1.419762,2.686294,9.184157,sitting,69
34:52.5,1.371878,2.671929,9.289502,sitting,71
34:52.6,1.393425,2.681506,9.26556,sitting,84
34:52.6,1.448492,2.710236,9.220071,sitting,70
34:52.7,1.429338,2.705448,9.277532,sitting,70
34:52.8,1.391031,2.686294,9.246407,sitting,82
34:52.9,1.513135,2.801216,9.119514,sitting,92
34:53.0,1.383849,2.760514,9.229648,sitting,90
34:53.0,1.33357,2.724602,9.105149,sitting,85
34:53.1,1.465251,2.791639,9.14585,sitting,89
34:53.2,1.362301,2.755726,9.181764,sitting,76
34:53.3,1.37906,2.75812,9.188946,sitting,76
34:53.4,1.465251,2.791639,9.220071,sitting,73
34:53.4,1.367089,2.746149,9.179369,sitting,90
34:53.5,1.403002,2.722207,9.291897,sitting,73
34:53.6,1.508347,2.796427,9.174581,sitting,77
34:53.7,1.364695,2.75812,9.210494,sitting,91
34:53.8,1.426944,2.707842,9.248801,sitting,79
34:53.8,1.505953,2.784456,9.143456,sitting,93
34:53.9,1.39582,2.6839,9.196129,sitting,69
34:54.0,1.426944,2.726996,9.301474,sitting,85
34:54.1,1.429338,2.75812,9.016563,sitting,89
34:54.2,1.458069,2.705448,9.294291,sitting,73
34:54.2,1.369483,2.731784,9.13388,sitting,89
34:54.3,1.505953,2.72939,9.277532,sitting,89
34:54.4,1.450886,2.743755,9.141062,sitting,75
34:54.5,1.455675,2.731784,9.332599,sitting,74
34:54.6,1.441309,2.70066,9.224859,sitting,74
34:54.6,1.551443,2.753332,9.215282,sitting,92
34:54.7,1.405396,2.693477,9.212888,sitting,86
34:54.8,1.465251,2.765303,9.188946,sitting,77
34:54.9,1.474828,2.765303,9.232041,sitting,94
34:55.0,1.493982,2.743755,9.172187,sitting,80
34:55.0,1.450886,2.710236,9.208099,sitting,83
34:55.1,1.465251,2.705448,9.28232,sitting,81
34:55.2,1.525106,2.760514,9.157822,sitting,82
34:55.3,1.465251,2.712631,9.212888,sitting,87
34:55.4,1.49877,2.715025,9.28232,sitting,80
34:55.4,1.467646,2.698265,9.105149,sitting,74
34:55.5,1.505953,2.724602,9.296685,sitting,95
34:55.6,1.443704,2.686294,9.179369,sitting,85
34:55.7,1.49877,2.715025,9.23683,sitting,87
34:55.8,1.525106,2.715025,9.251195,sitting,90
34:55.8,1.438915,2.724602,9.186552,sitting,91
34:55.9,1.510741,2.679112,9.279925,sitting,74
34:56.0,1.491588,2.710236,9.169792,sitting,74
34:56.1,1.49877,2.779668,9.136273,sitting,86
34:56.2,1.501164,2.726996,9.222465,sitting,90
34:56.2,1.51553,2.736573,9.210494,sitting,93
34:56.3,1.429338,2.698265,9.176975,sitting,71
34:56.4,1.630451,2.810793,9.157822,sitting,90
34:56.5,1.417367,2.70066,9.246407,sitting,80
34:56.6,1.601721,2.750938,9.222465,sitting,82
34:56.6,1.551443,2.794033,9.076419,sitting,75
34:56.7,1.539472,2.765303,9.315839,sitting,92
34:56.8,1.51553,2.784456,9.119514,sitting,95
34:56.9,1.575385,2.796427,9.203311,sitting,85
34:57.0,1.556231,2.755726,9.215282,sitting,85
34:57.0,1.565808,2.770091,9.155427,sitting,70
34:57.1,1.534683,2.770091,9.205706,sitting,81
34:57.2,1.572991,2.794033,9.148245,sitting,76
34:57.3,1.649605,2.784456,9.215282,sitting,91
34:57.4,1.604115,2.794033,9.085996,sitting,90
34:57.4,1.599327,2.753332,9.332599,sitting,75
34:57.5,1.63524,2.753332,9.13388,sitting,92
34:57.6,1.642422,2.794033,9.198523,sitting,77
34:57.7,1.551443,2.770091,9.188946,sitting,74
34:57.8,1.644817,2.825158,9.203311,sitting,75
34:57.8,1.604115,2.813187,9.093178,sitting,79
34:57.9,1.620875,2.827552,9.193734,sitting,90
34:58.0,1.584962,2.784456,9.200917,sitting,85
34:58.1,1.630451,2.791639,9.275137,sitting,89
34:58.2,1.556231,2.837129,9.088389,sitting,85
34:58.2,1.572991,2.806004,9.234436,sitting,72
34:58.3,1.568202,2.877831,9.004593,sitting,81
34:58.4,1.558625,2.813187,9.344569,sitting,93
34:58.5,1.587356,2.877831,9.155427,sitting,85
34:58.6,1.290475,2.738967,9.011775,sitting,80
34:58.6,1.704672,2.782062,9.41879,sitting,73
34:58.7,1.640028,2.896984,8.927979,sitting,84
34:58.8,1.45328,2.710236,9.323022,sitting,80
34:58.9,1.70946,2.889802,9.181764,sitting,92
34:59.0,1.604115,2.8491,9.059659,sitting,85
34:59.0,1.496376,2.786851,9.255983,sitting,75
34:59.1,1.632846,2.89459,9.090784,sitting,74
34:59.2,1.364695,2.748544,9.169792,sitting,78
34:59.3,1.726219,2.925714,9.239224,sitting,84
34:59.4,1.477222,2.837129,8.951921,sitting,93
34:59.4,1.558625,2.899378,9.296685,sitting,74
34:59.5,1.426944,2.791639,9.160215,sitting,78
34:59.6,1.723825,2.834735,9.095572,sitting,92
34:59.7,1.594538,2.796427,9.232041,sitting,89
34:59.8,1.651999,2.904167,9.14585,sitting,74
34:59.8,1.285686,2.765303,9.074024,sitting,74
34:59.9,1.805228,2.868254,9.358934,sitting,76
35:00.0,1.668759,2.887407,8.887277,sitting,88
35:00.1,1.340753,2.762909,9.361329,sitting,79
35:00.2,1.623269,2.863465,9.088389,sitting,87
35:00.2,1.572991,2.851494,9.205706,sitting,79
35:00.3,1.510741,2.801216,9.246407,sitting,79
35:00.4,1.522712,2.844312,9.088389,sitting,83
35:00.5,1.479617,2.80361,9.217676,sitting,84
35:00.6,1.63524,2.8491,9.157822,sitting,72
35:00.6,1.465251,2.779668,9.155427,sitting,90
35:00.7,1.527501,2.815581,9.215282,sitting,73
35:00.8,1.61848,2.832341,9.16261,sitting,91
35:00.9,1.472434,2.784456,9.196129,sitting,86
35:01.0,1.572991,2.808398,9.165004,sitting,92
35:01.0,1.529895,2.782062,9.172187,sitting,95
35:01.1,1.572991,2.82037,9.157822,sitting,93
35:01.2,1.592144,2.784456,9.234436,sitting,90
35:01.3,1.553837,2.789245,9.129091,sitting,92
35:01.4,1.616086,2.796427,9.13388,sitting,85
35:01.4,1.534683,2.719813,9.232041,sitting,91
35:01.5,1.613692,2.784456,9.126697,sitting,88
35:01.6,1.556231,2.698265,9.19134,sitting,70
35:01.7,1.702277,2.746149,9.198523,sitting,84
35:01.8,1.855506,2.815581,9.167398,sitting,78
35:01.8,1.508347,2.693477,9.143456,sitting,77
35:01.9,1.599327,2.734178,9.313444,sitting,88
35:02.0,1.714248,2.834735,9.059659,sitting,95
35:02.1,1.582567,2.741361,9.220071,sitting,70
35:02.2,1.448492,2.717419,9.169792,sitting,79
35:02.2,1.685518,2.810793,9.25359,sitting,87
35:02.3,1.604115,2.762909,9.097966,sitting,81
35:02.4,1.501164,2.734178,9.239224,sitting,93
35:02.5,1.525106,2.839523,9.222465,sitting,94
35:02.6,1.604115,2.767697,9.169792,sitting,82
35:02.6,1.654393,2.806004,9.172187,sitting,86
35:02.7,1.604115,2.782062,9.16261,sitting,79
35:02.8,1.616086,2.75812,9.212888,sitting,92
35:02.9,1.685518,2.801216,9.095572,sitting,70
35:03.0,1.73819,2.767697,9.200917,sitting,77
35:03.0,1.723825,2.760514,9.174581,sitting,95
35:03.1,1.723825,2.784456,9.155427,sitting,71
35:03.2,1.747767,2.789245,9.153033,sitting,72
35:03.3,1.728614,2.784456,9.124303,sitting,87
35:03.4,1.731008,2.837129,9.174581,sitting,92
35:03.4,1.651999,2.779668,9.109938,sitting,73
35:03.5,1.563414,2.75812,9.208099,sitting,79
35:03.6,1.757344,2.815581,9.138668,sitting,76
35:03.7,1.731008,2.801216,9.14585,sitting,90
35:03.8,1.527501,2.786851,9.181764,sitting,93
35:03.8,1.611298,2.786851,9.090784,sitting,70
35:03.9,1.793257,2.868254,9.246407,sitting,94
35:04.0,1.570596,2.770091,9.107543,sitting,79
35:04.1,1.644817,2.77488,9.222465,sitting,77
35:04.2,1.580173,2.853889,9.059659,sitting,95
35:04.2,1.587356,2.791639,9.227253,sitting,95
35:04.3,1.642422,2.846706,9.141062,sitting,92
35:04.4,1.558625,2.731784,9.157822,sitting,95
35:04.5,1.426944,2.777274,9.212888,sitting,90
35:04.6,1.537078,2.829947,9.076419,sitting,94
35:04.6,1.565808,2.829947,9.308656,sitting,88
35:04.7,1.496376,2.901772,9.085996,sitting,93
35:04.8,1.486799,2.892196,9.232041,sitting,80
35:04.9,1.522712,2.877831,9.222465,sitting,76
35:05.0,1.644817,2.92332,8.947132,sitting,94
35:05.0,1.699883,2.839523,9.002198,sitting,72
35:05.1,1.616086,2.676718,8.836999,sitting,76
35:05.2,2.226608,2.853889,9.26556,sitting,94
35:05.3,1.671153,2.717419,9.062054,sitting,72
35:05.4,1.484405,2.731784,9.847352,sitting,80
35:05.4,1.92015,2.750938,9.284714,sitting,90
35:05.5,1.596933,2.693477,8.781932,sitting,88
35:05.6,2.059013,2.853889,9.004593,sitting,77
35:05.7,1.915361,2.913743,9.095572,sitting,92
35:05.8,1.661576,2.748544,9.066842,sitting,71
35:05.8,2.157176,2.724602,9.25359,sitting,86
35:05.9,2.176329,2.633622,9.01417,sitting,75
35:06.0,2.054225,2.597709,9.210494,sitting,75
35:06.1,2.082955,2.636016,9.114726,sitting,84
35:06.2,2.267309,3.13401,8.966286,sitting,72
35:06.2,2.327164,2.822764,8.980651,sitting,78
35:06.3,2.240973,2.703054,9.16261,sitting,73
35:06.4,1.549049,2.633622,8.971074,sitting,83
35:06.5,1.587356,2.70066,9.385271,sitting,80
35:06.6,1.553837,2.281674,9.050082,sitting,90
35:06.6,2.257732,2.825158,9.490616,sitting,92
35:06.7,1.96564,2.791639,8.714894,sitting,77
35:06.8,1.881842,2.671929,9.43076,sitting,75
35:06.9,1.73819,2.645593,8.985439,sitting,94
35:07.0,1.824382,2.786851,9.121908,sitting,82
35:07.0,1.678335,2.70066,9.160215,sitting,72
35:07.1,1.78368,2.650381,9.124303,sitting,74
35:07.2,1.620875,2.671929,9.267955,sitting,72
35:07.3,1.546654,2.626439,9.294291,sitting,90
35:07.4,1.565808,2.662352,9.227253,sitting,76
35:07.4,1.467646,2.664747,9.244013,sitting,73
35:07.5,1.489193,2.585738,9.129091,sitting,70
35:07.6,1.450886,2.717419,9.229648,sitting,75
35:07.7,1.33357,2.590526,9.318233,sitting,80
35:07.8,1.774103,2.710236,9.121908,sitting,77
35:07.8,1.61848,2.837129,9.255983,sitting,72
35:07.9,1.106121,2.597709,9.045294,sitting,82
35:08.0,1.594538,2.698265,9.457097,sitting,85
35:08.1,1.596933,2.724602,8.939949,sitting,77
35:08.2,1.553837,2.738967,9.356541,sitting,94
35:08.2,1.388637,2.645593,9.153033,sitting,88
35:08.3,1.764527,2.863465,9.28232,sitting,92
35:08.4,1.355118,2.636016,9.062054,sitting,76
35:08.5,1.596933,2.628834,9.507375,sitting,78
35:08.6,1.704672,2.736573,8.99741,sitting,72
35:08.6,1.599327,2.719813,9.332599,sitting,76
35:08.7,1.517924,2.674323,9.19134,sitting,77
35:08.8,1.697489,2.741361,9.229648,sitting,79
35:08.9,1.565808,2.695871,9.169792,sitting,87
35:09.0,1.568202,2.698265,9.200917,sitting,78
35:09.0,1.546654,2.667141,9.260772,sitting,91
35:09.1,1.572991,2.703054,9.196129,sitting,72
35:09.2,1.441309,2.628834,9.232041,sitting,84
35:09.3,1.51553,2.72939,9.184157,sitting,87
35:09.4,1.47004,2.662352,9.224859,sitting,85
35:09.4,1.529895,2.63841,9.41879,sitting,70
35:09.5,1.441309,2.688689,9.131485,sitting,93
35:09.6,1.508347,2.662352,9.32781,sitting,95
35:09.7,1.455675,2.65517,9.229648,sitting,74
35:09.8,1.505953,2.734178,9.232041,sitting,93
35:09.8,1.295263,2.557007,9.234436,sitting,76
35:09.9,1.508347,2.686294,9.31105,sitting,88
35:10.0,1.393425,2.664747,9.119514,sitting,77
35:10.1,1.522712,2.60968,9.303867,sitting,85
35:10.2,1.611298,2.722207,9.052477,sitting,73
35:10.2,1.393425,2.602497,9.287108,sitting,84
35:10.3,1.405396,2.628834,9.320627,sitting,95
35:10.4,1.551443,2.671929,9.109938,sitting,89
35:10.5,1.49877,2.643199,9.301474,sitting,71
35:10.6,1.357512,2.679112,9.308656,sitting,90
35:10.6,1.465251,2.65517,9.16261,sitting,86
35:10.7,1.448492,2.681506,9.246407,sitting,88
35:10.8,1.37906,2.614468,9.244013,sitting,79
35:10.9,1.450886,2.640805,9.267955,sitting,78
35:11.0,1.419762,2.619257,9.244013,sitting,91
35:11.0,1.438915,2.590526,9.277532,sitting,70
35:11.1,1.491588,2.573767,9.136273,sitting,82
35:11.2,1.482011,2.568978,9.277532,sitting,94
35:11.3,1.522712,2.501941,9.378088,sitting,91
35:11.4,1.51553,2.528277,9.011775,sitting,84
35:11.4,1.563414,2.396596,9.301474,sitting,92
35:11.5,0.969652,2.049437,9.078813,sitting,80
35:11.6,1.572991,1.944092,10.0748,sitting,92
35:11.7,1.209072,1.82917,9.397242,sitting,77
35:11.8,1.18513,1.963245,9.277532,sitting,70
35:11.8,1.189918,1.723825,9.68694,sitting,90
35:11.9,1.209072,1.821988,9.452309,sitting,82
35:12.0,1.30484,1.891419,9.425972,sitting,78
35:12.1,1.201889,1.814805,9.476251,sitting,72
35:12.2,1.130063,1.769315,9.481039,sitting,80
35:12.2,1.206678,1.857901,9.382876,sitting,89
35:12.3,1.297657,1.788469,9.631873,sitting,81
35:12.4,1.18513,1.80044,9.41879,sitting,91
35:12.5,1.278504,1.941698,9.301474,sitting,72
35:12.6,1.225831,1.795651,9.514558,sitting,87
35:12.6,1.228225,1.824382,9.385271,sitting,91
35:12.7,1.266533,1.817199,9.423578,sitting,92
35:12.8,1.189918,1.82917,9.414001,sitting,78
35:12.9,1.206678,1.771709,9.469068,sitting,92
35:13.0,1.371878,1.812411,9.514558,sitting,86
35:13.0,1.177947,1.821988,9.358934,sitting,93
35:13.1,1.292869,1.812411,9.560047,sitting,75
35:13.2,1.25935,1.843535,9.394848,sitting,91
35:13.3,1.244985,1.824382,9.490616,sitting,92
35:13.4,1.221043,1.848324,9.346964,sitting,94
35:13.4,1.312023,1.84593,9.545682,sitting,82
35:13.5,1.177947,1.824382,9.3733,sitting,93
35:13.6,1.25935,1.817199,9.504981,sitting,87
35:13.7,1.225831,1.841141,9.406818,sitting,87
35:13.8,1.223437,1.87466,9.497798,sitting,70
35:13.8,1.261744,1.735796,9.519346,sitting,95
35:13.9,1.393425,1.891419,9.459491,sitting,77
35:14.0,1.266533,1.872266,9.26556,sitting,75
35:14.1,1.419762,1.855506,9.588778,sitting,69
35:14.2,1.434127,1.891419,9.31105,sitting,80
35:14.2,1.355118,1.764527,9.622296,sitting,88
35:14.3,1.359907,1.793257,9.533711,sitting,77
35:14.4,1.443704,1.850718,9.421184,sitting,83
35:14.5,1.436521,1.891419,9.466674,sitting,87
35:14.6,1.295263,1.836353,9.370906,sitting,80
35:14.6,1.400608,1.860295,9.478644,sitting,94
35:14.7,1.505953,1.896208,9.390059,sitting,76
35:14.8,1.280898,1.884237,9.440337,sitting,94
35:14.9,1.417367,1.821988,9.55047,sitting,88
35:15.0,1.369483,1.87466,9.330204,sitting,71
35:15.0,1.161188,1.82917,9.464279,sitting,78
35:15.1,1.314417,1.92015,9.378088,sitting,76
35:15.2,1.347936,1.927332,9.409213,sitting,92
35:15.3,1.16837,1.855506,9.514558,sitting,86
35:15.4,1.448492,2.03986,9.691729,sitting,72
35:15.4,1.362301,1.898602,9.531317,sitting,81
35:15.5,0.620098,2.092532,8.731653,sitting,79
35:15.6,1.142034,2.477999,9.56723,sitting,84
35:15.7,0.78051,2.590526,9.050082,sitting,84
35:15.8,0.952892,2.322376,9.186552,sitting,85
